Serial_No,Full_Name,Date_of_Birth,Age,Gender,Weight (kg),Height (cm),Contact_No,Date_of_Previous_Blood_Donation,Date_of_Next_Blood_Donation,Availability,Longitude,Latitude,Address,NIC No,Blood Group,Previous Blood Donated Campaign
Y17/D00001,Reyes Mcglone,11/28/1990,29,Male,60.01,182.01,715837482,5/4/2020,8/24/2020,Available,6.794448,80.142804,"Meepe-Ingiriya Road, Wewila, Western Province, LK",19905289383V,O+,CA/00123
Y17/D00002,Sonny Gebhart,6/26/1994,25,Male,86.53,159.72,710113861,6/26/2020,10/16/2020,Available,6.945683,80.11251,"Lenawara Raja Maha Viharaya, Akarawita, Western Province 10730, LK",19941930886V,A+,CA/00124
Y17/D00003,Domenic Reimers,1/18/1985,35,Male,63.41,179.15,776372733,1/18/2020,5/10/2020,Available,6.764486,80.032904,"Batuwita-Kulupana Road, Kananwila, Western Province 12404, LK",19858692777V,B+,CA/00125
Y17/D00004,Daren Quinton,3/14/1992,28,Female,62.49,179.92,715837482,3/14/2020,7/4/2020,Available,6.901103,79.938011,"Old Batapotha Road, Akuregoda, Western Province 10115, LK",19925636915V,O+,CA/00126
Y17/D00005,Lucas Kunze,8/31/1981,38,Female,55.76,185.58,715837482,2/28/2020,6/20/2020,Available,6.76677,80.080361,"Thalgahavila road, Handupelpola, Western Province 12400, LK",19815747793V,B+,CA/00127
Y17/D00006,Ezra Castelan,1/30/1989,31,Male,98.25,149.88,710113861,1/30/2020,5/22/2020,Available,6.966053,79.87419,"Henamulla Lane, Colombo, Western Province 00009, LK",19892238335V,A+,CA/00128
Y17/D00008,Buck Alverson,4/10/1975,45,Female,64.29,178.41,715837482,5/12/2020,9/1/2020,Available,6.931561,79.841973,"Chaithya Road, Colombo, Western Province 00100, LK",19753760492V,A+,CA/00129
Y17/D00009,Federico Goto,3/3/1977,43,Male,93.47,153.89,776712741,4/10/2020,7/31/2020,Available,6.736939,79.928912,"Bekkegama Road, Panadura, Western Province 12500, LK",19773516649V,B+,CA/00130
Y17/D00010,Hosea Hirst,8/31/2002,17,Male,77.04,167.7,710113861,3/3/2020,6/23/2020,Available,6.922179,80.145634,"Kadugoda Road, Mawalgama, Western Province 10730, LK",20022641421V,A+,CA/00131
Y17/D00012,Malcom Hersh,6/28/2001,18,Male,72.58,171.44,715837482,2/20/2020,6/12/2020,Available,6.863967,80.029213,"Pelandagoda Road, Ranaviru Gammanaya, Western Province 10200, LK",20011490027V,A+,CA/00132
Y17/D00013,Van Spielman,5/2/1976,43,Female,88.3,158.24,776372733,1/6/2020,4/28/2020,Available,6.943083,79.853916,"Wharf Road, Colombo, Western Province 01200, LK",19761368690V,O+,CA/00133
Y17/D00014,Lewis Hohman,10/31/1977,42,Male,79.45,165.67,776712741,6/28/2020,10/18/2020,Available,6.745404,79.95185,"Hirana Road, , Western Province 12500, LK",19775520059V,B+,CA/00134
Y17/D00016,Brooks Bye,3/2/1992,28,Male,55.49,185.81,776372733,5/2/2020,8/22/2020,Not Available,6.852292,80.197585,"Labugama-Kalatuwawa Forest Reserve, Labugama, Western Province, LK",19926513926V,B+,CA/00135
Y17/D00017,Garfield Six,7/8/1998,21,Male,72.18,171.79,715837482,4/4/2020,7/25/2020,Available,6.978685,80.161486,"Ranwala Road, Pepiliyawala, Western Province, LK",19987180540V,AB+,CA/00136
Y17/D00018,Teodoro Starrett,8/21/2001,18,Female,67.32,175.86,710113861,6/15/2020,10/5/2020,Available,6.895564,80.026279,"Habarakada-Ranala Road, Dadigamuwa, Western Province 10200, LK",20012383426V,A+,CA/00137
Y17/D00019,Justin Canavan,10/21/1983,36,Female,101.57,147.08,776712741,3/2/2020,6/22/2020,Available,6.758564,80.104207,"Millawa road, Gorokgoda, Western Province, LK",19838089172V,B+,CA/00138
Y17/D00020,Bryon Boutte,5/2/1993,26,Male,73.89,170.35,715837482,1/8/2020,4/30/2020,Available,6.949547,79.902356,"Mawella Road, Kelaniya, Western Province 11300, LK",19938455736V,A+,CA/00139
Y17/D00021,Reggie Bose,10/25/1984,35,Male,109.03,140.82,710113861,2/9/2020,6/1/2020,Available,6.957009,80.133195,"Kosgama-Pugoda Road, Boralugoda, Western Province 10730, LK",19849005211V,A+,CA/00140
